You're among the 37% of Aussies who see friends less than once a week,Quý vị trong số 37% người gặp bạn bè ít hơn một lần mỗi tuần
"It can be hard to make time for friends, particularly after we hit our thirties. But socialising tends to pick up again as we get older.","Có thể khó có thời gian cho bạn bè, đặc biệt sau khi chúng ta đến độ tuổi ba mươi của mình. Nhưng việc giao du với bạn bè có xu hương tăng trở lại khi chúng ta trở nên lớn tuổi hơn."
Proportion of Australians who see their friends at least once a week.,Có một tỉ lệ người Úc gặp bạn bè của mình ít nhất một lần mỗi tuần. 
Time spent with friends varies across our lifetimes,Thời gian cùng với bạn bè thay đổi suốt theo tuổi tác trong cuộc đời
It tends to dip when we hit middle-age but picks up again as we get older ⁠— people over 65 are just as social as those in their 20s!,Thời gian với bạn bè giảm xuống khi chúng ta đến tuổi trung niên nhưng tăng trở lại khi chúng ta trở nên lớn tuổi hơn ⁠— những người trên 65 tuổi cũng giao du xã hội như những người ở tuổi 20 vậy!
Proportion of Australians who see their friends at least once a week.,Có một tỉ lệ người Úc gặp bạn bè của mình ít nhất một lần mỗi tuần. 
"Like most women, you don't watch porn","Như hầu hết các phụ nữ, quý vị không xem phim ảnh khiêu dâm"
"Men's porn habits look very different, with their most common response being they watch porn at least once a week.","Các thói quen của nam giới về phim ảnh khiêu dâm xem ra rất khác, với câu trả lời thường gặp nhất của họ là xem ít nhất một lần mỗi tuần."
"In general, how often would you say you watch pornography?","Thông thường, quý vị có thể nói mình xem phim ảnh khiêu dâm thường xuyên ở mức độ nào?"
"Unlike most men, you don't watch porn","Không giống hầu hết nam giới, quý vị không xem phim ảnh khiêu dâm"
"In general, how often would you say you watch pornography?","Thông thường, quý vị có thể nói mình xem phim ảnh khiêu dâm thường xuyên ở mức độ nào?"
You watch pornography less often than 24% of women,Quý vị xem phim ảnh khiêu dâm ít thường xuyên hơn 24% phụ nữ khác
"While a majority of women say they never watch porn, men are most likely to watch at least once a week.","Trong khi hầu hế phụ nữ nói là họ không bao giờ xem phim ảnh khiêu dâm, thì nhiều khả năng nam giới lại xem ít nhất một lần mỗi tuần."
"In general, how often would you say you watch pornography?","Thông thường, quý vị có thể nói mình xem phim ảnh khiêu dâm thường xuyên ở mức độ nào?"
You watch porn more often than [[x]]% of Australian women,Quý vị xem phim ảnh khiêu dâm thường xuyên hơn [[x]]% phụ nữ Úc khác
"Men's porn habits look very different from women's. While a majority of women say they never watch porn, men are most likely to watch at least once a week.","Các thói quen của nam giới về phim ảnh khiêu dâm xem ra rất khác với của nữ giới. Trong khi hầu hế phụ nữ nói là họ không bao giờ xem phim ảnh khiêu dâm, thì nhiều khả năng nam giới lại xem ít nhất một lần mỗi tuần."
"In general, how often would you say you watch pornography?","Thông thường, quý vị có thể nói mình xem phim ảnh khiêu dâm thường xuyên ở mức độ nào?"
You watch porn less often than [[x]]% of Australian men,Quý vị xem phim ảnh khiêu dâm ít thường xuyên hơn [[x]]% nam giới Úc
"The porn habits of men and women are very different. While a majority of women say they never watch porn, men are most likely to watch at least once a week.","Các thói quen của nam giới và phụ nữ về phim ảnh khiêu dâm là rất khác nhau. Trong khi hầu hết phụ nữ nói là họ không bao giờ xem phim ảnh khiêu dâm, thì nhiều khả năng nam giới lại xem ít nhất một lần mỗi tuần."
"In general, how often would you say you watch pornography?","Thông thường, quý vị có thể nói mình xem phim ảnh khiêu dâm thường xuyên ở mức độ nào?"
You watch porn more often than [[x]]% of Australian men,Quý vị xem phim ảnh khiêu dâm thường xuyên hơn [[x]]% nam giới Úc
"The porn habits of men and women are very different. While a majority of women say they never watch porn, men are most likely to watch at least once a week.","Các thói quen của nam giới và phụ nữ về phim ảnh khiêu dâm là rất khác nhau. Trong khi hầu hết phụ nữ nói là họ không bao giờ xem phim ảnh khiêu dâm, thì nhiều khả năng nam giới lại xem ít nhất một lần mỗi tuần."
"In general, how often would you say you watch pornography?","Thông thường, quý vị có thể nói mình xem phim ảnh khiêu dâm thường xuyên ở mức độ nào?"
Men are twice as likely as women to watch pornography,Khả năng nam giới xem phim ảnh khiêu dâm là cao gấp đôi so với phụ nữ
"They're also twice as likely as women to choose 'prefer not to say', as you did for this question.","Khả năng họ chọn trả lời 'không muốn nói' cũng cao gấp đôi so với phụ nữ, khi quý vị tìm hiểu cho câu hỏi này."
"In general, how often would you say you watch pornography?","Thông thường, quý vị có thể nói mình xem phim ảnh khiêu dâm thường xuyên ở mức độ nào?"
Men are twice as likely as women to watch pornography,Khả năng nam giới xem phim ảnh khiêu dâm là cao gấp đôi so với phụ nữ
"The porn habits of men and women are very different. While a majority of women say they never watch porn, men are most likely to watch at least once a week.","Các thói quen của nam giới và phụ nữ về phim ảnh khiêu dâm là rất khác nhau. Trong khi hầu hết phụ nữ nói là họ không bao giờ xem phim ảnh khiêu dâm, thì nhiều khả năng nam giới lại xem ít nhất một lần mỗi tuần."
"In general, how often would you say you watch pornography?","Thông thường, quý vị có thể nói mình xem phim ảnh khiêu dâm thường xuyên ở mức độ nào?"
You're having more sex than [[x]]% of people your age,Quý vị đang quan hệ tình dục nhiều hơn [[x]]% người khác ở tuổi quý vị
"In general, how often would you say you have sex?","Thông thường, quý vị có thể nói mình quan hệ tình dục thường xuyên ở mức độ nào?"
"They might send more nude photos, but young people are having less sex than almost everyone else.","Những người trẻ có thể gửi nhiều hình khỏa thân hơn, nhưng họ đang quan hệ tình dục ít hơn so với hầu hết mọi người khác."
You're having less sex than [[x]]% of people your age,Quý vị đang quan hệ tình dục ít hơn [[x]]% người khác ở tuổi quý vị
"In general, how often would you say you have sex?","Thông thường, quý vị có thể nói mình quan hệ tình dục thường xuyên ở mức độ nào?"
"They might send more nude photos, but young people are having less sex than almost everyone else.","Những người trẻ có thể gửi nhiều hình khỏa thân hơn, nhưng họ đang quan hệ ít hơn so với hầu hết mọi người khác."
You are among 16% of people who prefer to remain discreet about their sex lives,Quý vị trong số 16% những người thích kín đáo về đời sống tình dục của mình
"In general, how often would you say you have sex?","Thông thường, quý vị có thể nói mình quan hệ tình dục thường xuyên ở mức độ nào?"
"They might send more nude photos, but overall young people are having less sex than almost everyone else.","Những người trẻ có thể gửi nhiều hình khỏa thân hơn, nhưng về tổng thể, họ đang quan hệ tình dục ít hơn so với hầu hết mọi người khác."
You're in the stark majority of Aussies who say they never share naked selfies,Quý vị trong số phần đông người Úc nói là họ không bao giờ chia sẻ hình khỏa thân của mình
People in their 20s and 30s are the most open to sharing nudes.,Những người ở độ tuổi 20 và 30 là cởi mở nhất về việc chia sẻ hình khỏa thân
I would never send someone else a nude picture of myself online.,Tôi có lẽ không bao giờ gửi hình khoả thân của mình cho người khác trên mạng.
"You don't mind sending a naked selfie, but the stark majority of Australians wouldn't go there","Quý vị không e ngại việc gửi hình khỏa thân của mình, nhưng phần đông người Úc có lẽ không làm thế"
Those who are open to sharing nudes are most likely to be in their 20s and 30s.,"Những người cởi mở về việc chia sẻ hình khỏa thân, thường là những người trong độ tuổi 20 và 30."
I would never send someone else a nude picture of myself online.,Tôi có lẽ không bao giờ gửi hình khoả thân của mình cho người khác trên mạng.
A stark majority of Aussies aren't keen on sending naked selfies,Phần đông người Úc không tha thiết việc gửi hình khỏa thân của mình
Those who are open to sharing nudes are most likely to be in their 20s and 30s.,"Những người cởi mở về việc chia sẻ hình khỏa thân, thường là những người trong độ tuổi 20 và 30."
I would never send someone else a nude picture of myself online.,Tôi có lẽ không bao giờ gửi hình khoả thân của mình cho người khác trên mạng.
Social media affects your self-esteem more than it does most people your age,Truyền thông xã hội ảnh hưởng đến lòng tự trọng của quý vị nhiều hơn so với hầu hết những người khác ở tuổi quý vị 
"The younger you are, the more likely you are to feel worse after spending time scrolling through your social media feeds.","Càng trẻ, quý vị càng có nhiều khả năng cảm thấy chán ngán hơn sau khi dành thời gian xem các nội dung đăng của mình trên mạng truyền thông xã hội."
Looking at what other people post on social media often makes me feel worse about myself.,Xem những gì người khác đăng trên mạng xã hội thường làm tôi cảm thấy tệ hơn về bản thân.
You are among the [[x]]% of Australians your age who don't feel that social media affects their self-esteem,Quý vị trong số [[x]]% người Úc ở tuổi quý vị không cảm thấy là truyền thông xã hội ảnh hưởng đến lòng tự trọng của mình
"The younger you are, the more likely you are to feel worse after spending time scrolling through your social media feeds.","Càng trẻ, quý vị càng có nhiều khả năng cảm thấy chán ngán hơn sau khi dành thời gian xem các nội dung đăng của mình trên mạng truyền thông xã hội."
Looking at what other people post on social media often makes me feel worse about myself.,Xem những gì người khác đăng trên mạng xã hội thường làm tôi cảm thấy tệ hơn về bản thân.
Social media is affecting young Aussies' self-esteem,Truyền thông xã hội đang ảnh hưởng đến lòng tự trọng của những người Úc trẻ
"The younger you are, the more likely you are to feel worse after spending time scrolling through your social media feeds.","Càng trẻ, quý vị càng có nhiều khả năng cảm thấy chán ngán hơn sau khi dành thời gian xem các nội dung đăng của mình trên mạng truyền thông xã hội."
Looking at what other people post on social media often makes me feel worse about myself.,Xem những gì người khác đăng trên mạng xã hội thường làm tôi cảm thấy tệ hơn về bản thân.
How concerned are you that you might lose your job within the next 12 months?,Quý vị cảm thấy quan ngại ở mức độ nào về việc có thể bị mất việc trong vòng 12 tháng tới?
Looking at what other people post on social media often makes me feel worse about myself.,Xem những gì người khác đăng trên mạng xã hội thường làm tôi cảm thấy tệ hơn về bản thân.
I would never send someone else a nude picture of myself online.,Tôi có lẽ không bao giờ gửi hình khoả thân của mình cho người khác trên mạng.
"In general, how often would you say you...?","Nói chung, cảm giác của quý vị ra sao, sau khi...?"
spend time with friends?,Dành thời gian với bạn
watch pornography?,Xem phim ảnh khiêu dâm
Have sex,Quan hệ tình dục
I would rather spend time with pets than people.,Tôi thà dành thời gian với thú cưng hơn là với người.
I know many of my neighbours by name.,Tôi biết tên nhiều người hàng xóm của mình.
You're more concerned about your job security than the average Australian employee,Quý vị đang quan ngại về sự bảo đảm của công việc của mình nhiều hơn so với một nhân viên Úc trung bình
How concerned are you that you might lose your job within the next 12 months?,Quý vị cảm thấy quan ngại ở mức độ nào về việc có thể bị mất việc trong vòng 12 tháng tới?
You're less concerned about your job security than the average Australian employee,Quý vị ít quan ngại về sự bảo đảm của công việc của mình hơn so với một nhân viên Úc trung bình
"27% of Australian employees are worried about losing their job, with people in their 40s more likely to be concerned than any other age group. Low-income earners and immigrants who've arrived in Australia within the past 10 years are the groups who have the lowest levels of job security.","27% nhân viên Úc quan ngại về việc mất việc làm, với những người ở độ tuổi 40 có nhiều khả năng trở nên quan ngại hơn so với bất kỳ nhóm tuổi nào khác. Những người có lợi tức thấp và người di dân đến Úc trong vòng 10 năm qua là nhóm có mức độ thấp nhất về sự bảo đảm của công việc."
How concerned are you that you might lose your job within the next 12 months?,Quý vị cảm thấy quan ngại ở mức độ nào về việc có thể bị mất việc trong vòng 12 tháng tới?
